source,target,weight
48161724,43956475,1.0
48161724,9088025,0.875
48161724,14851807,0.125
48161724,6480345,1.0
48161724,671378,1.0
48161724,22204295,1.0
48161724,10627238,1.0
48161724,8446573,1.0
48161724,1434517,1.0
48161724,48161724,1.0
48161724,103165,0.875
48161724,1431984,0.062
48161724,38240,0.062
48161724,56095525,1.0
48161724,19634224,0.963
48161724,22736026,0.007
48161724,30883354,0.007
48161724,7278304,0.003
48161724,5185660,0.003
48161724,11352223,0.003
48161724,2708346,0.003
48161724,15703818,0.003
48161724,16746759,0.003
48161724,9417680,0.003
43956475,43956475,1.0
43956475,43956475,1.0
43956475,43956475,1.0
43956475,43956475,1.0
9088025,56778193,0.948
9088025,11410934,0.052
9088025,48792690,1.0
9088025,1300085,1.0
9088025,5411330,0.765
9088025,499192,0.041
9088025,483853,0.031
9088025,1113045,0.018
9088025,893057,0.017
9088025,2829600,0.015
9088025,7191154,0.008
9088025,1926026,0.008
9088025,8542502,0.007
9088025,804684,0.007
9088025,1177735,0.007
9088025,5426926,0.007
9088025,4316355,0.005
9088025,6026504,0.005
9088025,504687,0.005
9088025,5690163,0.005
9088025,5573469,0.005
9088025,3279736,0.005
9088025,3282340,0.003
9088025,6130713,0.003
9088025,2687997,0.003
9088025,1612186,0.003
9088025,21979,0.003
9088025,324764,0.003
9088025,1863506,0.003
9088025,594614,0.003
9088025,1940952,0.003
9088025,69415,0.003
9088025,1931442,0.003
9088025,450069,0.003
9088025,10661375,1.0
9088025,25236985,1.0
9088025,9088025,1.0
9088025,9088025,0.957
9088025,30902628,0.043
9088025,6872117,0.524
9088025,9088025,0.381
9088025,49699333,0.048
9088025,649188,0.048
9088025,403133,1.0
9088025,3411033,0.299
9088025,2438050,0.183
9088025,581997,0.145
9088025,1149918,0.086
9088025,2142116,0.081
9088025,6968,0.055
9088025,13620509,0.032
9088025,396613,0.026
9088025,198576,0.024
9088025,4259480,0.013
9088025,247512,0.008
9088025,933453,0.006
9088025,4837758,0.006
9088025,902386,0.005
9088025,2073180,0.005
9088025,3770761,0.004
9088025,4089118,0.003
9088025,1745357,0.003
9088025,85705,0.002
9088025,1572802,0.002
9088025,4032415,0.002
9088025,123903,0.001
9088025,774337,0.001
9088025,1158371,0.001
9088025,4138767,0.001
9088025,577485,0.001
9088025,1940165,0.001
9088025,4720947,0.001
9088025,4722358,0.001
9088025,1948012,0.001
9088025,7766058,1.0
9088025,1197560,1.0
9088025,18439,0.833
9088025,13244386,0.061
9088025,8571301,0.047
9088025,3593366,0.045
9088025,304014,0.014
9088025,184091,1.0
9088025,2650178,1.0
9088025,1609685,1.0
9088025,18743986,1.0
9088025,180987,0.476
9088025,178249,0.118
9088025,178101,0.103
9088025,178095,0.085
9088025,832811,0.045
9088025,1145379,0.034
9088025,171276,0.018
9088025,177628,0.015
9088025,186511,0.015
9088025,495565,0.015
9088025,192976,0.013
9088025,1002504,0.013
9088025,40444,0.004
9088025,147710,0.004
9088025,501890,0.004
